run_order,family_id,prefix,new_filename,original_filename,status,role,purpose,direct_calls_or_reuses,upstream_dependency,primary_inputs,default_outputs,typical_run_command,notes
11,002,B,B002a_count_bathy_lcc_tiles_by_river.sh,B002a_count_bathy_lcc_tiles_by_river.sh,renamed existing code,QA driver,Count paired tiles by river.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",bathymetry/LCC tiles,counts/log output,sbatch B002a_count_bathy_lcc_tiles_by_river.sh,
12,002,B,B002b_split_bathy_lcc_holdout_river.sh,B002b_split_bathy_lcc_holdout_river.sh,renamed existing code,split driver,Run river-level holdout split generation.,A002_make_bathy_lcc_split_by_river.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",bathymetry/LCC tiles,holdout split,sbatch B002b_split_bathy_lcc_holdout_river.sh,
13,002,D,D002_train_stage4_bathy_finalmask_holdout_decoder_tilenormVis.sh,D002_train_stage4_bathy_finalmask_holdout_decoder_tilenormVis.sh,renamed existing code,training,Stage4 final-mask holdout training with visible-only tile normalization.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",B002 split + checkpoint,stage4 run,sbatch D002_train_stage4_bathy_finalmask_holdout_decoder_tilenormVis.sh,
14,002,D,D002b_train_stage4_bathy_finalmask_holdout_decoder_tilenormFull.sh,D002b_train_stage4_bathy_finalmask_holdout_decoder_tilenormFull.sh,renamed existing code,training variant,Stage4 final-mask holdout training with full-tile normalization.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",B002 split + checkpoint,stage4 run,sbatch D002b_train_stage4_bathy_finalmask_holdout_decoder_tilenormFull.sh,
15,002,E,E002_evaluate_stage4_lcc_exact_per_tile.py,E002_evaluate_stage4_lcc_exact_per_tile.py,renamed existing code,evaluation core,Per-tile exact evaluation for stage4 final-mask model.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D002 checkpoint + split,evaluation outputs,python E002_evaluate_stage4_lcc_exact_per_tile.py,
16,002,E,E002a_eval_stage4_best_train_holdout_lcc_exact_per_tile.sh,E002a_eval_stage4_best_train_holdout_lcc_exact_per_tile.sh,renamed existing code,evaluation driver,Evaluate D002 on training tiles.,E002_evaluate_stage4_lcc_exact_per_tile.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D002 checkpoint + train list,train evaluation,sbatch E002a_eval_stage4_best_train_holdout_lcc_exact_per_tile.sh,
17,002,E,E002b_eval_stage4_best_val_holdout_lcc_exact_per_tile.sh,E002b_eval_stage4_best_val_holdout_lcc_exact_per_tile.sh,renamed existing code,evaluation driver,Evaluate D002 on validation tiles.,E002_evaluate_stage4_lcc_exact_per_tile.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D002 checkpoint + val list,val evaluation,sbatch E002b_eval_stage4_best_val_holdout_lcc_exact_per_tile.sh,
18,003,D,D003a_train_stage4_nodataSafe_tilenormVis.sh,D003a_train_stage4_nodataSafe_tilenormVis.sh,renamed existing code,training,"NoData-safe stage4 training, visible-only normalization.",,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",holdout split + data,run/checkpoints,sbatch D003a_train_stage4_nodataSafe_tilenormVis.sh,
19,003,D,D003b_train_stage4_nodataSafe_tilenormFull.sh,D003b_train_stage4_nodataSafe_tilenormFull.sh,renamed existing code,training variant,"NoData-safe stage4 training, full-tile normalization.",,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",holdout split + data,run/checkpoints,sbatch D003b_train_stage4_nodataSafe_tilenormFull.sh,
20,003,E,E003_evaluate_stage4_nodata_core_per_tile.py,E020_evaluate_stage4_nodata_core_per_tile.py,renamed existing code,evaluation core,Evaluate NoData-safe core-loss model per tile.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D003 checkpoint + split,metrics/figures,python E003_evaluate_stage4_nodata_core_per_tile.py,
21,003,E,E003a_eval_stage4_best_val_nodata_core_tilenormVis.sh,E021_eval_stage4_best_val_nodata_core_tilenormVis.sh,renamed existing code,evaluation driver,Evaluate D003 visible-normalization model on validation.,E003_evaluate_stage4_nodata_core_per_tile.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D003 checkpoint,val evaluation,sbatch E003a_eval_stage4_best_val_nodata_core_tilenormVis.sh,
22,004,D,D004a_train_stage4_zeroNDfix_nodataSafe_coreLoss_tilenormVis.sh,D004a_train_stage4_zeroNDfix_nodataSafe_coreLoss_tilenormVis.sh,renamed existing code,training,Zero-NoData fix and core-loss training experiment.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",holdout split + corrected data,run/checkpoints,sbatch D004a_train_stage4_zeroNDfix_nodataSafe_coreLoss_tilenormVis.sh,
23,004,E,E004_eval_zeroNDfix_best_exact_pixel.sh,E021b_evaluate_zeroNDfix_best_exact_pixel.sh,renamed existing code,evaluation driver,Exact-pixel evaluation of D004 zero-NoData fix model.,E003_evaluate_stage4_nodata_core_per_tile.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D004 checkpoint,exact-pixel evaluation,sbatch E004_eval_zeroNDfix_best_exact_pixel.sh,
24,005,D,D005_train_stage4_allRiverCanonicalND_coreLoss_tilenormVis.sh,D005_train_stage4_allRiverCanonicalND_coreLoss_tilenormVis.sh,renamed existing code,training,Canonical all-river NoData/core-loss model.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",canonical data + split,run/checkpoints,sbatch D005_train_stage4_allRiverCanonicalND_coreLoss_tilenormVis.sh,
25,005,E,E005_evaluate_stage4_predictionOnly_coreBox.py,E030_evaluate_stage4_predictionOnly_coreBox.py,renamed existing code,evaluation core,Prediction-only core-box evaluation used by D005 and LOORO.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",checkpoint + split,metrics/figures,python E005_evaluate_stage4_predictionOnly_coreBox.py,
26,005,E,E005a_eval_stage4_best_val_predictionOnly_coreBox.sh,E031_eval_stage4_best_val_predictionOnly_coreBox.sh,renamed existing code,evaluation driver,Evaluate D005 best checkpoint on validation.,E005_evaluate_stage4_predictionOnly_coreBox.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D005 checkpoint,val evaluation,sbatch E005a_eval_stage4_best_val_predictionOnly_coreBox.sh,
27,005,E,E005b_evaluate_allRiverCanonicalND_best_predictionOnly_coreBox.sh,E031b_evaluate_allRiverCanonicalND_best_predictionOnly_coreBox.sh,renamed existing code,evaluation driver,Evaluate all-river canonical D005 best checkpoint.,E005_evaluate_stage4_predictionOnly_coreBox.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D005 checkpoint,all-river evaluation,sbatch E005b_evaluate_allRiverCanonicalND_best_predictionOnly_coreBox.sh,
28,010,A,A010_prepare_LOORO_crossval_splits_and_audits.py,A010_prepare_LOORO_crossval_splits_and_audits.py,renamed existing code,crossval split core,Prepare leave-one-river-out splits and audits.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",canonical split/audit inputs,cross_validation splits/audits,python A010_prepare_LOORO_crossval_splits_and_audits.py,
29,010,B,B010_prepare_LOORO_crossval_splits_and_audits.sh,B010_prepare_LOORO_crossval_splits_and_audits.sh,renamed existing code,crossval split driver,Run A010.,A010_prepare_LOORO_crossval_splits_and_audits.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",canonical audit,LOORO splits/audits,bash B010_prepare_LOORO_crossval_splits_and_audits.sh,
30,010,D,D010_train_stage4_LOORO_crossval.sh,D010_train_stage4_LOORO_crossval.sh,renamed existing code,crossval training,Train one LOORO fold.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",B010 split/audit,fold checkpoint,sbatch D010_train_stage4_LOORO_crossval.sh,
31,010,E,E010a_eval_crossval_all_holdouts_predictionOnly_coreBox.sh,E041_eval_crossval_all_holdouts_predictionOnly_coreBox.sh,renamed existing code,crossval evaluation driver,Evaluate all cross-validation holdouts.,E005_evaluate_stage4_predictionOnly_coreBox.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D010/D010g runs,crossval evaluation folders,sbatch E010a_eval_crossval_all_holdouts_predictionOnly_coreBox.sh,
32,010,E,E010b_run_crossval_suspicious_summary.sh,E042_run_crossval_suspicious_summary.sh,renamed existing code,crossval analysis driver,Run E010c summary.,E010c_analyze_crossval_evaluations_suspicious_tiles.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",E010a outputs,crossval summary,bash E010b_run_crossval_suspicious_summary.sh,
33,010,E,E010c_analyze_crossval_evaluations_suspicious_tiles.py,E040_analyze_crossval_evaluations_suspicious_tiles.py,renamed existing code,crossval analysis core,Summarize crossval evaluation and rank suspicious tiles.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",E010a outputs,summary CSV + suspicious list,python E010c_analyze_crossval_evaluations_suspicious_tiles.py,
34,010g,A,A010g_prepare_grouped_holdout_from_existing_LOORO.py,A011_prepare_grouped_holdout_from_existing_LOORO.py,renamed existing code,grouped split core,Create grouped holdout from existing LOORO files.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",LOORO splits/audits,grouped split/audit,python A010g_prepare_grouped_holdout_from_existing_LOORO.py,
35,010g,B,B010g_prepare_MilwaukeeRiverGroup_holdout.sh,B011_prepare_MilwaukeeRiverGroup_holdout.sh,renamed existing code,grouped split driver,Run grouped Milwaukee holdout preparation.,A010g_prepare_grouped_holdout_from_existing_LOORO.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",LOORO files,Milwaukee grouped split,bash B010g_prepare_MilwaukeeRiverGroup_holdout.sh,
36,010g,D,D010g_train_stage4_grouped_LOORO_crossval.sh,D010g_train_stage4_grouped_LOORO_crossval.sh,renamed existing code,crossval training,Train grouped LOORO fold.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",B010g split/audit,group checkpoint,sbatch D010g_train_stage4_grouped_LOORO_crossval.sh,
37,010q,A,A010q1_inspect_suspicious_tile_source_chain_exactmask.py,A013_inspect_suspicious_tile_source_chain_exactmask.py,renamed existing code,source QA core,Inspect suspicious tile source chain and exact masks.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",suspicious tile list + source rasters,diagnostic outputs,python A010q1_inspect_suspicious_tile_source_chain_exactmask.py,
38,010q,A,A010q2_inspect_suspicious_tile_source_chain_gis_export.py,A014_inspect_suspicious_tile_source_chain_gis_export.py,renamed existing code,GIS QA core,Export suspicious source-chain layers for GIS.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",suspicious tile list + source rasters,GIS rasters,python A010q2_inspect_suspicious_tile_source_chain_gis_export.py,
39,010q,B,B010q1_run_source_chain_exactmask_for_suspicious_tiles.sh,B013_run_source_chain_exactmask_for_suspicious_tiles.sh,renamed existing code,source QA driver,Run exact-mask source-chain inspection.,A010q1_inspect_suspicious_tile_source_chain_exactmask.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",E010b suspicious list,diagnostic directory,bash B010q1_run_source_chain_exactmask_for_suspicious_tiles.sh,
40,010q,B,B010q2_run_source_chain_gis_export_for_suspicious_tiles.sh,B014_run_source_chain_gis_export_for_suspicious_tiles.sh,renamed existing code,GIS QA driver,Run GIS export.,A010q2_inspect_suspicious_tile_source_chain_gis_export.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",E010b suspicious list,GIS output directory,bash B010q2_run_source_chain_gis_export_for_suspicious_tiles.sh,
41,020,A,A020_prepare_v2_dualmask_holdout_split_20260707.py,A016_v2_holdout_split_20260707_final.py,renamed existing code,split core,Prepare v2 dual-mask holdout lists.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",Tiles_for_MAE_v2,cross_validation_v2 splits,python A020_prepare_v2_dualmask_holdout_split_20260707.py,
42,020,A,A020s_prepare_v2_dualmask_stdstratified_river_split_20260708.py,A017_v2_prepare_stdstratified_river_split_20260708.py,renamed existing code,split core variant,Prepare river-level std-stratified v2 split.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",Tiles_for_MAE_v2,std-strat split,python A020s_prepare_v2_dualmask_stdstratified_river_split_20260708.py,
43,020,D,D020_v2_dualmask_coreloss_train_backend_normES_20260708.sh,D020_v2_dualmask_coreloss_train_backend_normES_20260708.sh,renamed existing code,training backend,Normalized-loss v2 dual-mask training backend.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",v2 split + tiles,NormOnly checkpoints,bash D020_v2_dualmask_coreloss_train_backend_normES_20260708.sh,
44,020,D,D021_v2_dualmask_holdout_select_normES_D001NoDataSafe_20260709.sh,D021_v2_dualmask_holdout_select_normES_D001NoDataSafe_20260709.sh,renamed existing code,holdout training driver,Train NormOnly holdout model.,A020_prepare_v2_dualmask_holdout_split_20260707.py; D020_v2_dualmask_coreloss_train_backend_normES_20260708.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",v2 tiles,cross_validation_v2 runs,sbatch D021_v2_dualmask_holdout_select_normES_D001NoDataSafe_20260709.sh,
45,020,D,D024_v2_dualmask_stdstrat_normES_D001NoDataSafe_20260709.sh,D024_v2_dualmask_stdstrat_normES_D001NoDataSafe_20260709.sh,renamed existing code,stdstrat training driver,Train NormOnly std-strat model.,A020s_prepare_v2_dualmask_stdstratified_river_split_20260708.py; D020_v2_dualmask_coreloss_train_backend_normES_20260708.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",v2 tiles,cross_validation_v2 runs,sbatch D024_v2_dualmask_stdstrat_normES_D001NoDataSafe_20260709.sh,
46,020,E,E020_evaluate_NormOnly_core_pixel_metrics_overlayvis_20260710.py,E050_v2_dualmask_evaluate_core_pixel_metrics_D001NoDataSafe_overlayvis_20260710.py,renamed existing code,evaluation core,Core-pixel train/val evaluation for NormOnly.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormOnly checkpoint + split,evaluation metrics/figures,python E020_evaluate_NormOnly_core_pixel_metrics_overlayvis_20260710.py,
47,020,E,E021_run_NormOnly_train_val_core_pixel_eval_overlayvis_20260710.sh,E051_run_v2_train_val_core_pixel_eval_D001NoDataSafe_overlayvis_20260710.sh,renamed existing code,evaluation driver,Run NormOnly train/val evaluation.,E020_evaluate_NormOnly_core_pixel_metrics_overlayvis_20260710.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D021/D024 checkpoint,run-local evaluation,sbatch E021_run_NormOnly_train_val_core_pixel_eval_overlayvis_20260710.sh,
48,020,F,F020_fullriver_predict_NormOnly_TileAvgVRT_CoreFinalLossOnly_20260710.py,F012_fullriver_predict_tileavg_vrt_CoreFinalLossOnly_Inst1DSafe_20260710.py,renamed existing code,full-river inference core,Predict full river with overlap averaging for NormOnly.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormOnly checkpoint + E001 tiles,legacy F010 prediction products,python F020_fullriver_predict_NormOnly_TileAvgVRT_CoreFinalLossOnly_20260710.py,
49,020,F,F021_run_fullriver_inference_NormOnly_TileAvgVRT_20260710.sh,F013_run_fullriver_inference_tileavg_vrt_CoreFinalLossOnly_Inst1DSafe_20260710.sh,renamed existing code,full-river inference driver,Run NormOnly full-river inference.,F020_fullriver_predict_NormOnly_TileAvgVRT_CoreFinalLossOnly_20260710.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D021 checkpoint + full-river tiles,FullRiver_Predictions_F010...,sbatch F021_run_fullriver_inference_NormOnly_TileAvgVRT_20260710.sh,
50,020,F,F022_fullriver_gt_error_NormOnly_UniqueCompatible_20260710.py,F020_fullriver_gt_error_tilevrt_CoreFinalLossOnly_20260710.py,renamed existing code,full-river error core,Build GT/error tiles and metrics for NormOnly.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F021 prediction products,legacy F020 error products,python F022_fullriver_gt_error_NormOnly_UniqueCompatible_20260710.py,
51,020,F,F023_run_fullriver_gt_error_NormOnly_20260710.sh,F021_run_fullriver_gt_error_tilevrt_CoreFinalLossOnly_20260710.sh,renamed existing code,full-river error driver,Run NormOnly full-river error calculation.,F022_fullriver_gt_error_NormOnly_UniqueCompatible_20260710.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F021 outputs,FullRiver_GT_Error_F020...,sbatch F023_run_fullriver_gt_error_NormOnly_20260710.sh,
52,020,F,F024_submit_three_holdout_NormOnly_eval_inference_error_20260727.sh,,new aligned code,workflow driver,Submit three NormOnly evaluation/inference/error workflows.,E021; F021; F023,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D021 formal runs,Slurm jobs,bash F024_submit_three_holdout_NormOnly_eval_inference_error_20260727.sh,
53,020,G,G020_build_NormOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.py,F051_build_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.py,renamed existing code,dashboard core,Build 1 m NormOnly Leaflet dashboard.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F021/F023 + E001 tiles,FullRiver_WebMap_F051...,python G020_build_NormOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.py,
54,020,G,G021_run_NormOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.sh,F052_run_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.sh,renamed existing code,dashboard driver,Run NormOnly dashboard builder.,G020_build_NormOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormOnly prediction/error roots,HTML + ZIP,sbatch G021_run_NormOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.sh,
55,025,D,D025_train_stage2_MeterMAE_FromNorm_backend_20260725.sh,D025_train_stage2_MeterMAE_FromNorm_backend_20260725.sh,renamed existing code,training backend,Stage2 meter-MAE fine-tuning from NormOnly checkpoint.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D020/D021 checkpoint + same split,NormThenMeter checkpoint,bash D025_train_stage2_MeterMAE_FromNorm_backend_20260725.sh,
56,025,D,D026_v2_dualmask_holdout_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,D026_v2_dualmask_holdout_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,renamed existing code,holdout training driver,Train NormThenMeter holdout model.,D025_train_stage2_MeterMAE_FromNorm_backend_20260725.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormOnly best checkpoint,cross_validation_v6 runs,sbatch D026_v2_dualmask_holdout_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,
57,025,D,D027_v2_dualmask_stdstrat_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,D027_v2_dualmask_stdstrat_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,renamed existing code,stdstrat training driver,Train NormThenMeter std-strat model.,D025_train_stage2_MeterMAE_FromNorm_backend_20260725.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormOnly stdstrat checkpoint,cross_validation_v6 runs,sbatch D027_v2_dualmask_stdstrat_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,
58,025,D,D028_submit_three_holdout_Stage2MeterMAE_FromNorm_20260725.sh,D028_submit_three_holdout_Stage2MeterMAE_FromNorm_20260725.sh,renamed existing code,training workflow,Submit CA/CO/Santiam NormThenMeter training.,D026_v2_dualmask_holdout_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormOnly formal runs,three Slurm jobs,bash D028_submit_three_holdout_Stage2MeterMAE_FromNorm_20260725.sh,
59,025,E,E025_evaluate_NormThenMeter_core_pixel_metrics_overlayvis_20260727.py,,new aligned code,evaluation core,Core-pixel evaluation for NormThenMeter.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D026 checkpoint + split,evaluation metrics/figures,python E025_evaluate_NormThenMeter_core_pixel_metrics_overlayvis_20260727.py,
60,025,E,E026_run_NormThenMeter_train_val_core_pixel_eval_20260727.sh,,new aligned code,evaluation driver,Run NormThenMeter train/val evaluation.,E025_evaluate_NormThenMeter_core_pixel_metrics_overlayvis_20260727.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D026 checkpoint,run-local evaluation,sbatch E026_run_NormThenMeter_train_val_core_pixel_eval_20260727.sh,
61,025,F,F025_fullriver_predict_NormThenMeter_TileAvgVRT_CoreFinalLossOnly_20260727.py,,new aligned code,full-river inference core,Full-river prediction for NormThenMeter.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D026 checkpoint + strict E001 tiles,legacy F060-format prediction products,python F025_fullriver_predict_NormThenMeter_TileAvgVRT_CoreFinalLossOnly_20260727.py,
62,025,F,F026_run_fullriver_inference_NormThenMeter_TileAvgVRT_20260727.sh,,new aligned code,full-river inference driver,Run NormThenMeter full-river prediction.,F025_fullriver_predict_NormThenMeter_TileAvgVRT_CoreFinalLossOnly_20260727.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D026 checkpoint,FullRiver_Predictions_G001...,sbatch F026_run_fullriver_inference_NormThenMeter_TileAvgVRT_20260727.sh,
63,025,F,F027_fullriver_gt_error_NormThenMeter_UniquePixel_20260727.py,,new aligned code,full-river error core,Build unique-pixel GT/error for NormThenMeter.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F026 prediction products,legacy F062-format error products,python F027_fullriver_gt_error_NormThenMeter_UniquePixel_20260727.py,
64,025,F,F028_run_fullriver_gt_error_NormThenMeter_UniquePixel_20260727.sh,,new aligned code,full-river error driver,Run NormThenMeter error calculation.,F027_fullriver_gt_error_NormThenMeter_UniquePixel_20260727.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F026 outputs,FullRiver_GT_Error_G002...,sbatch F028_run_fullriver_gt_error_NormThenMeter_UniquePixel_20260727.sh,
65,025,F,F029_submit_three_holdout_NormThenMeter_eval_inference_error_20260727.sh,,new aligned code,workflow driver,Submit three NormThenMeter evaluation/inference/error workflows.,E026; F026; F028,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D026 formal runs,Slurm jobs,bash F029_submit_three_holdout_NormThenMeter_eval_inference_error_20260727.sh,
66,025,G,G025_build_NormThenMeter_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260727.py,,new aligned code,dashboard core,Build NormThenMeter full-river dashboard.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F026/F028 + E001 tiles,NormThenMeter HTML package,python G025_build_NormThenMeter_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260727.py,
